YorubaWords,PartOfSpeech
 oje dudu., n
 alagbędę., n
 apo-ito., n
 èhu agbado tabi koriko;, n
" owo, ile roro.", n
" ba-wi. n., ibawi,", v
" lailęsę, lailegan.", adj
" yę fun ibawi,", adj
 and i. so di funfun., v
" jeje, pele. Blandishment, n. iponni.", adj
 sofo., adj
 aşq ibora., n
 and i. kigbe kikan., v
" and i. soro odi si Olorun, ibura, iré.", v
 pro odi si Olorun., n
" fife efufu, iro ipė.", n
" owo ina. v. tan-kalę, kede.", n
" kede fun gbogbo enia, fihan.", v
 and i. so di funfun., v
 tutu., adj
" and i. ké bi agutan. Bleed, Bled, v. sėję.", v
" abukün, egan. ", n
 and i. dapo mora., v
 akara ti a yan di ēpá., n
" sure fun, bukún, yìn.", v
 là si meji., v
 oyè olori alufa., n
 ilę sakani olori alufa., n
" dię, okele; ijanu eşin.", n
 abo aja., n
" and i. ge-ję, bu-ję.", v
" tàlugbe, iredanu.", n
" afoju, şokunkun, ope.", adj
" ifqju, airiran.", n
" and i. seju, şoju finrán.", v
 alafia pipe., n
 ni alafia li prun., adv
" ilérorð, öwo.", n
 idaraya., adj
 iji., n
" and i. wu, fè.", v
 iti igi tabi okuta., n
" idoti, idena.", n
 omugo., n
 ėję., n
 ębi ėję., n
 aja ti nlepa õrun ėję., n
" ita ėję aile, ipania.", n
 fifę ta ėję silę., n
 işán ėję., n
 elęję., adj
" ruwe, rudi. ", v
 didan., adj
" iná eweko, iná igi. v. yo itanna.", n
" abawon, abukun. v. se", n
 iwe ti a fi, n
 ewu obirin., n
" ilù, ina; ofo, jamba.", n
 pra erinmi., n
 àwo bi oju prun., n
 go. v. and i. ręję., adj
" işina, işubu, pro", n
" kunu, aimu, lora.", adj
 abawon., n
 soro lojiji laironu., v
 oju pupa nitori itiju., n
 ariwo bi afęfe., n
" ejo nla; érè, agbadu.", n
" ako elędę tinu igbo, imado.", n
 apako; egbę igbimo;, n
 eniti o ngba onję. , n
 ile iwe ibiti a mbo awon akeko., n
" and i. sogo, yin ara eni, halę, funnu.", v
" ahale, afunnu.", n
" oko, igbaja.", n
" ploko, atukỳ.", n
 mi soke mi sodo., v
 igi ti a ka owu we., n
 and i. sotelę., v
 nipa ti ara., adj
 ara; egbe., n
 esó., n
" erè, irà.", n
" kiki ęrè, ti irà.", adj
" erú, ytan.", adj
" and i. ho, sè. n. owo.", v
 ikoko nla sise omi., n
 npariwo lile., adj
 laiya; lafojudi., adj
 nigboiya., adv
" igboiya, ilaiya.", n
" timtim, irori.", n
 idabu ilękun. v. sa-lo., n
 ibon nla., n
 fi agba do ti., v
 or adv. tõto., adj
" ide, idapo.", n
 oko ęrú., n
 ęrukonri., n
 onigbowo., n
 ęrubirin., n
 egungun. v. yo egun-, n
 lailegungun., adj
 ina nla nita li akoko ariya., n
" ideri obirin, akętę.", n
 daradara., adj
 ele lori owo; ębun., n
 kiki egungun., adj
 iwe., n
" aran-iwe, oniso-na-iwe.", n
 apoti iwe., n
 işiro owo sinu iwe., n
 ohun ti afinsami iwe., n
 oluta iwe; enitio-nta-iwe., n
" ibiti a nta iwe, ile-qja iwe.", n
 kawe-kawe; eniti o feran iwe kika., n
 iro ibon., n
" èbun, pré.", n
" eniakenia, omugo.", n
" bata. v. jere, şanfani.", n
" ago, búka.", n
 okun bata., n
 aran-bata., n
 ikogun., n
" eti, eba, ipinle; işęti,", n
" and i. da-lu, da lagara.", v
 and i. ru eru., v
" win, ya, toro.", v
 eniti o ya nkan., n
 õkan aiya., n
 imo ohun ogbin., n
" mejeji. conj. ati, pelu.", adj
 and i. yo-lenu., v
 igo. v. fi sinu igo., n
" isalę, ipile; idi. Bottomless, adj. laini isalę.", n
 ęka igi., n
 rà., v
 okuta nla ribiti., n
" and i. fo, halę si. n. ifomo, işefefe, ihale.", v
 dì; fo., v
" àla, opin.", n
 alailopin., adj
 oninure., adj
" ębun işeun, õro.", n
" teriba fun, tệ, bèrẹ.", v
 orun., n
 ifun., n
 iji igi., n
" opón, awo koto.", n
" apoti; eşé, iküků. v. and i. kàn, ki leşé, lu nikuku.", n
 akini leşé., n
 omokonrin., n
 sá-ti., v
" iwa ewe, igba omode", n
" dè, di. n. idè, qja, igba.", v
" jufù, ègba orun owo.", n
 omi iyo., adj
" and i. sefefe, funnu.", v
" iwún, koko. v. wan", n
" mudùnmudùn; ogbọn,", n
 amodi ori., n
 ohun ti a fi nda kękę, n
 igi elegun., n
 ĕri; folo'folo agbado lilo., n
 eka igi; eya. v. ya eka., n
 alailęka., adj
 igi iná. v. sami si., n
 iru ști kan., n
 idę., n
" işefefe, ihale.", n
" laiya, gboju, igboiya.", adj
" igboiya, igboju.", n
" aso ariwo. v. sò, pariwo.", n
 alaso., n
 eran ako eledė., n
 igbe kętękętę., n
 ti idę; lile., adj
 alafojudi., n
 alagbędę idę., n
" oju iho, enu.", n
" akara, onję.", n
" ibu, gbigboro.", n
" and i. fó, sẹ, dá;", v
 onję owuro. v. and i. je onję arq., n
 aiya., n
 egbe omo-ogun, n
 olori egbe omo- ogun., n
" igára, olè.", n
" tan imple, didan.", adj
" awo aiya, igbaiya", n
" dán, mu dáşaşa. Brightness, n. itanşan implę,", v
 ēmi., n
 and i. mi., v
" mimi, ēmi.", n
 lailemi., adj
" idí, phin; idi ibon.", n
 şokoto., n
" and i. bi, loyun, tó, şe itoju.", v
 afefe jeje., n
 lafefe., adj
" ara, arakonrin.", n
" ikekuro, laifa oro gun.", n
 and i. pon oti; dimplu., v
" aponti, oloti.", n
 ile oti., n
 abętęlę. tele. v. be abe-, n
 igba abętelę nitori iwa buburu., n
 amò şişu ti a fi iná sun ni àlapa., n
" ębu àlapa, ileru fun amò.", n
 omplé., n
 ti iyawo., adj
 iyawo., n
 akara iyawo., n
 iyewu iyawo., n
 oko iyawo., n
 ęgbę iyawo., n
 afará. v. şafara si., n
" ijanu, akoso. v. and i.", n
 ona elesin., n
 kukuru., adj
" laifa pro gun. Brig, n. oko olopo meji.", adv
" titanşan, didan mona.", adj
 eti ohunkohun; bebe odo., n
" kun de eti, kun de enu, kun de oke.", adj
" imi õrun, sulfuri. Brine, n. omi iyo, okun.", n
" bèbe, eti.", n
" yara, murasi.", adj
" kiakia, yara, mura-", adv
 irun gaungaun bi ti elede., n
" rò, rirun wom, ya fifó.", adj
" ilu. v. lu, da-lu.", n
" nību, gboro.", adj
 fun kakiri., adj
 aşo onirun dara- dara., n
 iha oko., n
" ariwo, asq, ija. v.", n
 fifo., adj
" idibaję, alai-", adj
 onirobinuję okan., adj
 alàgbàta., n
" ère işę alàgbàta. Bronze, n. adalu baba ati", n
 ohun qşq obinrin., n
" saba lori; pa eyin, radobo. n. omo eiyę.", v
 odo şişan kekere., n
" pwò, alę, igbalę.", n
 omi eran bibo., n
" ará, arakonrin.", n
" idapo, egbe", n
 aná., n
" ipe odę, ipe ologun. v. and i. fun fere.", n
" ko, mo le. v. gbekele.", v
" omole, akole.", n
" eyiti a ti ko, ilé kiko.", n
 wu sode., v
" iwon, pataki.", n
" bi ará, ni ifé", adj
" tobi, gborin.", adj
 iwaju., n
 wò-molę., v
" and i. fi ewe bó, jawe ję.", v
" itèré, ifarapa. v. and i. tệ, teré, pa-lara.", n
 pwò alę. v. and i., n
 go., adj
" rorò, nika, bi eranko.", adj
" irorò, ikà.", n
" eranko ti kò ni iye ninu, omugo, onika.", n
" and i. ho bi omi, şe pompom.", v
 ako agbonrin tabi ewurę., n
 ohun elo ti a fi npon omi., n
" ide, ifiha. v. and i. dè, fiha.", n
" apata, asà, àbo.", n
" õhu ohun ogbin, irudi.", n
 and i. mira., v
" apapo nkan, iwe", n
 lù., v
 efòn., n
" and i. kì li eşẹ, lù ni ikūku.", v
 aşęfe., n
" işęfę, isqkuso.", n
 ida; nkan eleru; idin., n
 nkan ti ibanileru., n
 ako malu., n
 ota ibon., n
 ikede., n
 wura tabi fadaka ti, n
 ęgboro ako malu., n
" alaroye, ayonilenu. v. yonilenu, panilaiya. Bulrush, n. koriko odo.", n
" odi, agbara, abo.", n
" wiwú, ilu. v. and i. lu.", n
" odidi, şīri, akojo", n
" ęrù, edidi. v. and i. di lerù.", n
 edidi agbá., n
 ile ilę., n
 nkan ti a şe laibikita., n
 ibusun ninu oko., n
 ami loju omi lati kilo fun oloko., n
 fifo loju omi tabi li ofurufu., n
 èru; ininilara. v. di ęrù le., n
" ninira, iyonu.", adj
 plosa., n
" ifole, ikole.", n
 isinku., n
 ibi iboji., n
 isìn isinkú., n
 iho ehoro tabi ekute. v. and i. walę., n
" and i. bé, rùn wom- wom, tu-jade.", v
" sinkú, bo-molę.", v
" igbo, igbę.", n
" dsuwon ohun gbigbę. Bushy, adj. kun fun igi.", n
 ise., n
 ariwo; ikanju., n
 alaisimi.., n
" apon. v. şişe lowo. Busybody, n. olofofo.", adj
" sugbon; bikòşebę, sibę, sibę, afi.", conj
 alapata. v. pa eran., n
" ibi pipa, ile alapata;", n
" agboti, omo-odo.", n
" and i. fi iwo kan, fi ori kàn. n. agbá nla.", v
 ami lati ta ofa si., n
" dri amo, ori wara. v. fi ori amo si.", n
 labalába., n
 idi., n
" onini ewu. v. and i. so, di.", n
 iho onini ewu., n
" ohun iti, iti ogiri.", n
 didaraya., adj
 olurà., n
" ikun bi obonbon tabi oyin. By, prep. nipasę, nipa qwo, lęba.", n
" nigböşe, nigba dię.", adv
 eyiti o koja., adj
 owe., n
 efo oyinbo., n
 yará ninu ọkỳ., n
 okun tabi ewọn idako duro; ero irin ti a fi nsoro labę okun si ilę miran., n
 and i. gbé bi agbebo adię., v
 igi pró., n
 irehun silę., n
 aburo; eniti o nko işe ni ile eko awọn ọmọ ogun., n
" ile çiyę. Cajole, v. pón, tàn.", n
" aponni, elętan.", n
" akara didun. Calabash, n. igba.", n
 oni jamba., adj
 jamba., n
" and i. şiro, kà.", v
" işiro, kika.", n
 iwe ikaye igba ati, n
 omo malu., n
" fifę enu ibon, ninipon.", n
 aso owu., n
" ipe. v. and i. pè. Calling, n. işę ti a pè wa si.", n
" ọkàn lile, laitanu.", adj
 alaihuyę., adj
" idakę, iparoro, irolę.", n
" nirolę, niparoro.", adv
" şata, soro eni lehin.", v
 şişata., n
 ibiti a kàn Jesu mọ, n
" and i. bi omo malu. Calx, n. efun.", v
" aso felefele. Came, Come, vi. wá.", n
 ibakasię., n
 ibudo., n
 yara kekere; apoti ohun oso., n
" papa nla, igba ogún.", n
 osùn., n
 odò lilà., n
 çiyę ibaka., n
" nu-kuro, pa-rę.", v
" akan, alakaşa.", n
" şe dajudaju, şe", adj
 eniti nfé wo inu, n
" nigbangba, lotito. Candle, n. abélà, itanna tiafi", adv
" opa fitila, opa itanna.", n
" inurere, otito.", n
 oparun. v. nà., n
 ti aja., adj
 egbo ibaję. v. ba- ję., n
 kokoro jewe. jewe., n
 ajenia., n
 jiję enia., n
" ibon nla, agbá.", n
 t. yinbon nla lù., v
" ko le, lailagbara.", v
 pkò wétè., n
" ofin, ilana, aşę; eniti a ya soto fun isin Olorun.", n
 fifi oruko awon, v
 ibori igunwa., n
 pro agabagebe., n
 kanra., adj
 agabagebe; isare, n
 orin., n
 orin Solomon., n
 adugbo awon omo-ogun., n
" aşq alaikuna igbokun. Canvass, v. and i. toro, bębę.", n
" fila, ideri. deri, bori. v. and i.", n
" agbara, aye.", n
" tó, lè, lagbara.", adj
" tobi, gbörd,", adj
 fun ni agbara şe., v
" agbara, ipa, aye.", n
 oso eşin. v. şe eşin loso., n
 şonso ilę ti o yori sinu ejika., n
" ifo, ibé. v. jo, bę, fo.", n
" olori, ilu oba, letter nla.", n
 olowo., n
" ikaye ori, bibu", n
 jolowo pelu, v
" ipinnu, adehun.", n
 yi oro pada lainidi., n
" yiyipada, aşęfe.", adj
" and i. bi şubu, dojude.", v
" ogako, ogagun. Captious, adj. laire, aritenimowi.", n
" gbà-laiya, ri oju", v
" igbekun, onde, elę.", n
 okoęru., n
 amuni., n
 fi agbara mu. n., v
 okuta iyebiye; õwo apeta., n
 iwé pelebę., n
" olori, eni işaju.", n
" aniyan, ajo. v. şaniyan, sājo.", n
" iwa, irin, işe.", n
 kun fun aniyan;, adj
 pelepelę., adv
" işora, akiyesi.", n
" ailaniyan, aibikita, alafara.", adj
" fà-mora, ké, fowopa.", v
 ęrù ọkỳ., n
 oku pupo., n
" ti ara, agbotara.", adj
 ajeran., adj
 orin ayo tabi iyin. v., n
 jiyan., v
" gbenagbena, oni-", n
 aso tite sile., n
 kękę; iwa; reru., n
 alaru., n
 eran ti ko şe ję., n
" and i. gbe, ru.", v
 kękę ęrù., n
 onikękę ęrù., n
 okérékéré., n
 apoti ètu ibon., n
 gbenagbena kękę erù., n
 and i. fin igba tabi okuta; ke eran., v
 omi şişan., n
" apoti, àkỳ; ejo.", n
 owo., n
 kaju., n
 onitoju owo., n
 àgbá., n
 apoti kekere; posi., n
 ewu dudu awon alufa., n
" and i. júnu, danu. n.", v
" aşati, eni itanu, eni-ikosilę.", n
 nà., v
 ile işo., n
" ikosilę, ifisapakan.", adj
" te ni oda, se ni", v
 titę loda., n
" alabapade, aironu tele.", adj
" ifarapa, iku loju ija.", n
" ologbò, ologini.", n
 iwe oruko; iwe ti, n
 akatampo., n
 oju-işàn odo; atafó oju., n
" ipari ti kò dara, ijamba, opin pran.", n
 iwe ibere ati, n
 olukoni ni isin Olorun., n
 eniti a nko ni isin Olorun., n
 pèse onję., v
 onipèse onję., n
 kokoro., n
 ile Olorun giga., n
 ti enia gbogbo., adj
 eran osin., n
" idi, itori. v. mu-şe.", n
" lainidí, lasan.", adj
" fi irin gbibona jo,", v
" iwoye, ogbon, aki-", n
" nişora, niwoye.", adj
 owo irin çleşin., n
 ogun elęşin., n
 ihò ninu apata tabi nilę., n
 iho nisalę ilę., n
 awawi eké. v. se awawi eké., n
 ata pupa., n
" and i. dawoduro,", v
" aiduro, aisimi.", adj
 opepe., n
" fi-fun, fi le lowo.", v
 aja ilé., n
" and i. se iranti,", v
" iyin, işe iranti.", n
 eni olokiki., n
 iyara., n
 ti prun., adj
" wiwa ni apón,", n
" yàrá nile ewon, ihò.", n
 yàrá nisalę ilé., n
" amo lile, yefun okuta. v. repo.", n
 ibi isinku., n
 awo turari., n
 ibawi. v. ba-wi., n
 kikaye enia ilu., n
 ogorun., n
 ogorun odun., n
" tanşanko, ọkùn.", n
" arin, agbedemeji.", n
 balogun orun., n
" ogorun, odun.", n
 şişe apejo tabi isin., adj
" ami ode ti isin, işe isin.", n
 daju., adj
" daju-daju, laisi aniani, nitoto.", adv
 idaniloju., n
 iwe ęri., n
" jeri, rohin.", v
" idawoduro, iduro.", n
 ifilelowo., n
 kòto egbin., n
" and i. ra; to, mu", v
" iyangbo oka, ēpo, ēri.", n
 imunibinu. v. mu- binu., n
" ewon. v. dè li ewon. Chair, n. aga, ijoko.", n
" olori apejo, olori ajo.", n
 kękę eşin., n
 ago waini ti a nlo, n
 efun., n
" ipenija, ifijalo. v. pe-nija.", n
" iyàrá, iyèwu.", n
 ijoye oba eniti ntoju yàrá., n
 omo-odo ti o ntoju yàrá., n
" agemę, ogà.", n
 ewurę igbo., n
" ogagun, onişęgun. Chance, n. alabapade, ēși. .t.", n
" apa oke ni ile Olorun, ipo awon Alufa ni Ijo.", n
" akowe nilé ejo,", n
" iparo, iparada. v. and i. paro, se paşipàro, parada.", n
 yiyipada., adj
" ti ki ipada, laiyęsę.", adj
" ibù odo, ona odo.", n
 and i. korin., v
" rudurudu, jūjū.", n
 omodekonrin., n
 ilé Olorun., n
" oniwasu ni ile Olorun tabi li oko, oniwasu legbe awon omo-ogun.", n
" ori iwe, ipin iwe.", n
" iwa, oruko, ami.", n
" so bi o ti ri, fi", v
 ēdu igi., n
" and i. ka si lorun, fisun, diyele.", v
" ikasilorun, idi- yele.", adv
 awo poko nla; eşin-, n
 kękę., n
" inurere, şeun.", adj
" ifeni; pre-anu, iyonu.", n
" õgun, ondè, tira; ifaiya. v. şõgun; şefaiya.", n
" onifaiya, atuniloju.", n
" nifaiya, ni iwu.", adj
 iwe aworan aperę ilę., n
 iwe adehun., n
" dodę, lepa. n. odę.", v
 ogbun nla., n
" inufunfun, mó, yè.", adj
 nà., v
" nà, je-niyà.", v
" ina, ibawi, ijiya.", n
" iye ara, mimo ara, iyége.", n
 sọ bóti bòti., v
 érù; ohun ini., n
" ke bi çiyę, sọ werewere.", v
" po, wópò.", adj
" and i. re-ję, tan-ję. n. ireyę, itanje.", v
" and i. da-duro, kì wò. n. idaduro, ikiwo.", v
 ęrękę., n
 pari ęrękę., n
 lafojudi., adj
" imuninudun, ayo. v. and i. gba-niyanju, mu- tujuka, mu inudun.", n
 didaraya., adj
" alainidaraya, alaininudidun.", adj
 warakaşi., n
 ewu awotelę obinrin., n
 iwe ipaşiparo owo., n
" ké, bó, tọ-dagba.", v
" oluto, oluké.", n
" eda prun. Cherubim, n. awon emi tabi eda", n
 and i. ba-wi., v
" olori; olu, oloyè.", n
 olori onidajo., n
 pataki., adv
" ijoye, olori.", n
" omo, ewe.", n
 ibimo., n
" igba ewe. Childish, adj. bi ewe.", n
 lailomo., adj
 otutu ti nmu ni gbòn., n
 iro awon agogo., n
 ihò ēfin., n
 osὰ., n
" igbọn, àgbòn.", n
 ohunelo ti a fi amo şe., n
 iho lara ogiri., n
" ge si wewę, rę wini-", v
 and i. ke bi çiyę., v
 ohunelo irin mimu., n
" iwa rere, igboiya.", n
 eso igi koko ti a, n
 yìyàn; aşayan., n
 and i. fun li prun., v
" ibinu, irunu.", n
 and i. ke pópòpó., v
 ake., n
 okun duru., n
 akorin ile Olorun., n
" owo olorin, ègbè-orin.", n
" yiyan, şişayan,", adj
" Kristi, Eni itororosi.", n
" and i. sami fun li oruko Kristi, so li oruko.", v
 akopo awon ti o nsin Kristi., n
 aiya., n
" eleşin. Chew, v. and i. fi ehin run, ge-", n
 omo-ehin Kristi., n
" isin Kristi. Christianize, v. and i. so di", n
" ojo ibi Kristi. Chronic, adj. pipe titi.", n
 iwe itan. v. ko iwe itan., n
 kokoro ki i to di, n
 rerin., v
" enikeji, pré.", n
 iti igi., n
 ile Olorun. v., n
" yiyo, tutu.", adj
" ariwo, igbe.", n
" idilé, qya.", n
" nikoko, nipamo.", adj
 iro atewo. v. and i., n
 õlu agogo., n
 and i. sodi mimo., v
 fere., n
" onrorò, omugo.", n
 sonrorò; fifera., adj
 ohun elo ti afi gun wara. v. and i. gun wara., n
 tàbá ti a lọlu., n
 tábà ti a fi sinu iwe., n
 ēdu., n
" ayika, oruka. v. and i. yi-ka.", n
 iyika., n
" and i. tan-yika, mu", v
 ipin yika., n
 ko-nila abę. n. ikola., v
" sora, kiyesara. Circumspection, n. işora, iwoye.", adj
" pran, ohun", n
 ni alabapade., adj
 apoti omi., n
 ile odi., n
" ara ilu, ploto, onilu.", n
 ilunla., n
 ti ilu., adj
" moyi, moye.", adj
 ilaju., n
" ko-logbon, foyehan. Civil War, n. ija-ilu, ija igboro.", v
" ère, ibère ohun ti işe teni. v. bère nkan ti işe teni.", n
 eniti o pè nkan ni tirę., n
" ariwo nla, ikplura. v.", n
" idimu, ikó. v. and i. mu, ko, fa-mora.", n
" egbę, ipade. v. tò", n
 to legbegbe., v
 ariwo., n
 gbolohun oro kan., n
 ēkan ęsę eiye tabi eranko. v. yà li ekanna., n
 amp., n
" mó, aileri. v. wę mo.", adj
 imo toto., n
" wè-mo, sodi-mimó.", v
" mo toto, móju, dáșa, ailabukun. v. mu-dán. mu-kuro.", adj
 imukuro., n
" and i. là, pin; lèmo,", v
" anu, iyonu, inure.", n
" ti ojişę Olorun, ti", adj
 akowe., n
 oye akowe., n
" gbon, moye.", adj
" ogbon, oye.", n
" abęwę alagbawi, elęjo.", n
 bèbe okuta., n
" opin. Climb, v. and i. gün, goke.", n
 eniti ngoke; itakun., n
" fa-mo, romo, somo.", v
 re-kuru; gba-mo., v
 egbę., n
" agbada, aşq ilekè. v.", n
" agogo. Clod, n. idi erupę ilę.", n
" ohun idina. Close, v. and i. se, tì, pádé. n.", n
" itosi, sisunmo.", n
" yara ikękę. Clot, n. işu, eję didi.", n
" aso wiwun, aşq ibora, aşq hihun.", n
 wo-laşo., v
 aso wiwo., n
 ohun wiwo., n
" ikükü, awo sanma.", n
" akisa; ilù, inà.", n
" lila, pin. Club, n. igi nla, ogo; egbę. v.", adj
" idi, opolopo.", n
" and i. diwo, dimu.", v
 kękę., n
" egbę, alabaşe, oluranlowo.", n
" and i. kí, di. Coal, n. eyin ina, ēdu.", v
" dàpo, faramo. Coalescence, Coalition, n. idapp, işpkan.", v
" şaikuna, şalaighon, gò, şákişàki.", adj
" agbegbe, eti okun. Coastguard, n. oluşq etikun. Coat, n. aşq ileke.", n
" and i. kẹ, tàn, rò, pon. Coaxer, n. elętan, aponni, ponni-ponni.", v
 ori agbado kan., n
" oni-bata, aran-bata.", n
" okùn alantakun. Cock, n. akuko; ikę-ibon. v.", n
 ejo gunte., n
 li akuko., adv
 ayán., n
 agbon., n
 ewuruku., n
 bộ., v
 akojo ofin., n
" ogbogba, iba.", adj
" and i. şakoso, fagbara se.", v
" akoso, ifagbara şe.", n
 oniru aşę kanna., adj
 apoti owo., n
 posi., n
" ti agbara, daju.", adj
" and i. ronu, se", v
" ironu, àşaro.", n
 batan., adj
 imò., n
 jumo gbe pọ bi okó, v
 ajumo se arole po., n
" lemo, repòmo.", v
" idapp. Coil, v. and i. ka-okùn. n. ika", n
" owo şile. v. ro, humo.", n
 irowo., n
" se dědě, ba-mu.", v
 işedēdē., n
" idapp. Colander, n. konkọso, asę.", n
 tutu. n. otutů., adj
" ainifé, aibikita.", adj
 inurirun., n
" wo lule, şe ailera.", v
" çka qrùn, aşọ prùn. Collateral, adj. lęgbękęgbę.", n
" egbę, alabaşe, elegbe.", n
" akojopo, adura kuku- ru. v. and i. ko-jo, sajò po.", n
 ikojopo., n
" akojopo, olukojo.", n
 ile iwe giga., n
 kolura., v
 a-wa-ēdu., n
" ibi eyin, koto ēdu.", n
" ikplura, idugbolu.", n
 pro siso., n
 ifun nla; ami ida- duro (:)., n
 ogagun., n
 and i. tè ilu do., v
 ilu ti a tèdo., n
" tobi pupo, gborin. Colour, n. awo. v. and i. fi oda si.", adj
 eniti ntà iwe, n
" agodongbo, omo eşin.", n
" owòn, lla.", n
 õya; ogbe akuko. v. and i. yà., n
" ija, idelona. and i. jà, de-lọnà. v.", n
 onija., n
" ęgbę, imopo,", n
" and i. dà-pọ, ré-pọ. Combustible, adj. ti kò şoro jo. Combustion, n. jijo; irukerudo. Come, Came, v. wá, sunmodo,", v
" ewa, iwu, ewu. Comely, adj. lewa, lewu.", n
 irawo oju orun;, n
" itunu, itura, irora. v. tu-ninu; rè, tu-lojuka.", n
" nirora, nitunu.", adj
" alainitunu, ala-", adj
 pa ni lerin., adj
" mbowa, mbọ.", v
" ami idaduro (,).", n
" aşę, akoso, ijanu.", n
" olori, alakoso.", n
" ofin, aşę.", n
 şe iranti., v
 işe iranti., n
" and i. bère,", v
" ibère, ipilęsę.", n
" yin, ki; fi le lowo. Commendation, n. iyin.", v
